player_id,name,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,CB,LB,RB,LWB,RWB,CDM,CM,CAM,LM,RM,LW,RW,ST,CF,Playmakers_Technicians,Clinical_Finishers_GoalPoachers,Defensive_Walls_Destroyers,Physical_Speed_Based_Players,Attacking Work Rate,Defensive Work Rate
239085,Erling Haaland,195,94,0,3,3,47,96,83,77,90,79,77,62,63,82,82,94,78,94,72,94,93,76,93,86,87,43,96,74,86,87,38,47,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,2
231747,Kylian Mbappé,182,75,1,4,5,78,94,73,86,84,93,80,69,71,92,97,97,93,93,82,90,88,88,77,83,64,38,93,83,84,88,26,34,32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,2,0
192985,Kevin De Bruyne,181,75,1,5,4,95,85,55,94,83,86,92,83,94,92,74,74,76,92,78,92,73,88,75,92,75,66,88,95,83,88,66,70,53,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1
231866,Rodri,191,82,1,4,3,71,74,81,92,68,84,83,63,90,90,63,65,68,93,67,92,83,89,83,88,85,84,76,84,62,90,92,87,78,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,2,2
202126,Harry Kane,188,85,1,5,3,80,95,89,87,89,82,82,65,88,87,67,70,66,93,73,93,87,81,85,87,80,42,94,87,92,92,46,46,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,2
192119,Thibaut Courtois,200,96,0,3,1,14,14,13,33,12,13,19,20,35,23,42,52,63,88,45,57,68,38,70,17,23,15,13,44,27,66,20,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
188545,Robert Lewandowski,185,81,1,4,4,76,93,91,84,89,86,79,85,70,90,76,75,77,93,83,91,92,76,89,84,81,49,94,81,90,88,35,42,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1
158023,Lionel Messi,169,67,0,4,4,83,89,60,91,86,96,93,93,90,93,87,74,91,88,95,83,71,70,68,90,44,40,91,92,75,96,20,35,24,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
239818,Rúben Dias,187,82,1,4,2,54,29,87,83,32,64,46,48,76,75,54,69,60,89,56,74,84,78,90,26,93,86,39,51,45,81,91,91,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
238794,Vini Jr.,176,73,1,4,5,79,89,50,82,73,92,79,62,77,90,95,95,94,86,84,77,74,84,65,80,58,26,87,83,71,83,32,25,18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,2,1
212831,Alisson,193,91,1,3,1,17,13,29,60,20,27,19,18,58,42,60,49,40,87,37,64,82,32,78,14,27,11,13,66,23,66,15,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
209331,Mohamed Salah,175,72,0,3,4,80,92,59,85,83,88,84,69,77,86,89,89,89,93,91,82,81,87,77,84,63,55,92,85,81,90,38,43,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,1
203376,Virgil van Dijk,193,92,1,3,2,53,52,87,80,45,70,60,70,86,77,66,87,59,88,50,81,89,72,93,64,85,88,47,67,62,89,90,91,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
192448,Marc-André ter Stegen,187,85,1,4,1,18,14,11,61,14,21,18,12,63,30,45,50,39,85,43,67,72,35,78,10,43,22,11,70,25,70,25,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
252371,Jude Bellingham,186,75,1,4,4,66,87,69,89,74,88,73,56,87,87,81,80,82,89,79,79,82,93,77,80,85,82,88,87,74,87,77,79,77,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2,2
239053,Federico Valverde,182,78,1,4,3,78,78,63,87,74,83,74,69,88,88,84,91,77,89,68,91,82,92,80,87,81,83,86,86,59,84,79,85,80,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,2,2
231478,Lautaro Martínez,174,72,1,4,4,60,91,86,75,91,85,78,54,73,88,83,77,88,90,89,85,93,80,84,78,90,45,91,78,74,88,55,31,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1
222665,Martin Ødegaard,178,68,0,2,5,86,83,55,90,79,88,84,85,88,90,74,71,85,89,83,82,66,88,56,84,64,68,83,91,68,87,68,69,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1
218667,Bernardo Silva,173,64,0,3,4,84,78,54,91,78,92,84,67,82,91,78,68,95,89,92,79,66,93,54,79,78,73,85,87,68,89,70,76,60,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,2,2
210257,Ederson,188,86,0,3,1,20,14,14,65,18,30,40,20,68,45,64,63,60,88,48,68,79,44,78,18,38,27,20,70,65,70,29,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
200389,Jan Oblak,188,87,1,3,1,13,11,15,43,13,12,13,14,40,30,42,53,64,85,48,59,72,42,78,12,36,24,11,67,11,68,27,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
194765,Antoine Griezmann,176,73,0,3,4,82,90,85,89,86,88,89,85,86,89,81,80,89,90,84,85,85,86,69,87,74,59,90,88,79,89,45,63,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,2
190871,Neymar Jr,175,68,1,5,5,83,83,63,85,86,95,88,87,81,94,85,82,90,85,83,79,71,73,51,81,63,37,83,87,85,93,35,32,29,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,2,1
165153,Karim Benzema,185,81,1,4,4,75,89,90,89,88,87,82,73,76,91,76,77,77,88,72,87,84,80,80,81,63,39,90,88,71,88,43,24,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
256630,Florian Wirtz,177,71,1,4,4,82,79,42,90,74,87,80,64,86,90,81,80,87,86,86,75,61,83,53,75,63,44,83,90,60,84,58,49,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1
237692,Phil Foden,171,69,0,3,4,80,83,47,87,59,89,84,70,82,91,87,80,92,83,91,87,63,83,47,85,64,59,85,86,64,86,60,59,47,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,2
235073,Gregor Kobel,195,88,1,3,1,13,10,13,39,10,24,13,12,33,34,38,52,37,85,29,55,71,30,81,10,24,14,10,59,12,66,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
234378,Declan Rice,185,80,1,3,3,78,64,72,85,50,82,79,65,86,84,71,75,55,85,65,78,82,92,81,70,85,86,70,79,71,86,85,86,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,2
232293,Victor Osimhen,186,77,1,4,3,62,89,84,71,83,83,63,52,54,84,87,92,78,89,68,85,94,81,86,75,68,34,90,70,75,80,36,45,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1
230621,Gianluigi Donnarumma,196,90,1,3,1,12,12,12,36,8,28,12,14,34,30,50,55,57,81,38,55,72,39,75,18,30,26,14,60,24,65,20,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
228702,Frenkie de Jong,181,74,1,3,4,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,82,89,74,66,74,82,77,88,53,90,76,76,77,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,1
215698,Mike Maignan,191,89,1,4,1,18,15,17,65,16,31,38,16,61,40,50,53,41,85,56,65,75,39,78,20,35,25,15,65,15,68,23,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
212622,Joshua Kimmich,177,75,1,4,3,91,68,72,88,69,82,85,76,91,84,77,65,84,87,84,78,78,93,68,83,86,85,80,85,69,86,81,84,78,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1
212198,Bruno Fernandes,179,69,1,3,4,82,83,63,89,87,80,85,82,89,86,74,68,78,90,76,86,71,95,60,83,84,63,87,94,90,79,62,71,63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,2
207865,Marquinhos,183,75,1,3,3,68,59,88,84,35,69,58,32,85,79,76,82,68,86,67,65,89,83,78,45,81,89,70,76,52,86,90,89,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
200104,Heung Min Son,183,78,1,5,4,84,90,70,83,79,87,87,74,72,83,85,88,81,90,74,88,78,88,64,89,62,39,91,82,75,88,47,34,33,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,2,2
182521,Toni Kroos,183,76,1,5,3,88,76,58,92,82,80,86,84,92,89,55,48,63,89,71,89,61,75,72,85,68,80,74,89,73,89,75,70,60,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
167495,Manuel Neuer,193,93,1,4,1,15,13,25,60,11,30,14,11,68,46,48,50,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
256790,Jamal Musiala,184,72,1,4,5,67,79,49,82,70,94,69,51,77,89,84,86,93,85,92,73,65,78,53,75,59,65,81,82,55,84,64,63,68,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,1
253163,Ronald Araujo,188,79,1,3,2,58,56,85,76,38,55,47,45,66,68,76,86,56,84,55,68,92,72,87,35,87,85,56,59,43,76,86,86,86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
251854,Pedri,174,60,1,4,4,68,72,50,88,56,87,79,62,86,88,81,76,88,87,90,68,73,87,73,68,62,73,79,88,53,87,68,77,65,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,2,2
247635,Khvicha Kvaratskhelia,183,70,1,5,5,78,81,62,83,64,90,82,65,76,88,85,86,86,84,76,78,78,79,70,83,62,40,82,86,65,79,38,39,34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1
246669,Bukayo Saka,178,65,0,4,3,85,84,45,82,79,89,84,69,69,88,88,82,85,85,88,79,70,86,63,83,68,62,82,85,84,81,60,62,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1
241721,Rafael Leão,188,81,1,4,5,85,81,72,80,74,90,82,60,70,88,94,93,85,84,84,80,90,77,83,75,60,24,79,84,63,83,22,24,21,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0
240130,Éder Militão,186,78,1,3,2,69,48,87,78,34,70,60,40,76,72,81,88,70,85,62,62,91,85,79,42,84,86,64,59,60,76,86,87,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
231443,Ousmane Dembélé,178,67,0,5,5,86,75,43,80,76,89,82,64,76,87,94,93,94,82,81,83,65,68,52,76,54,36,80,83,75,81,42,30,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,1
231281,Trent Alexander-Arnold,180,72,1,4,3,93,64,69,89,68,79,88,85,92,84,73,79,73,84,72,85,75,89,68,76,69,84,79,90,55,82,78,82,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
224232,Nicolò Barella,172,68,1,3,3,79,78,53,88,80,81,79,67,85,87,83,78,90,89,90,80,75,94,73,79,84,83,83,83,73,86,80,83,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,2
223848,Sergej Milinković-Savić,192,95,1,5,4,71,82,86,86,74,85,81,78,86,87,62,66,62,84,63,83,87,91,87,81,79,79,82,83,59,84,77,77,79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,2,1
222492,Leroy Sané,183,80,0,2,4,82,83,64,83,84,89,84,83,72,86,88,93,87,85,82,86,72,73,67,80,65,34,83,81,65,83,36,32,35,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1
216267,Andrew Robertson,178,64,0,2,3,87,55,67,83,32,78,82,71,76,83,82,78,75,85,74,76,77,93,67,65,85,81,80,82,55,83,83,83,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
211110,Paulo Dybala,177,75,0,3,4,82,82,54,86,90,90,90,88,79,93,84,76,88,82,90,84,71,74,60,89,43,42,82,91,88,84,32,41,39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0
210514,João Cancelo,182,74,1,4,4,87,69,72,87,62,85,87,69,79,86,86,77,79,84,78,80,80,88,62,79,76,81,81,85,52,85,79,83,79,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0
210035,Grimaldo,171,68,0,2,3,91,64,62,86,63,85,89,89,82,86,86,76,84,85,86,84,76,88,63,83,69,79,78,84,54,83,76,78,74,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1
208128,Hakan Çalhanoğlu,178,69,1,4,3,78,75,53,88,74,85,88,85,88,88,72,65,83,86,80,86,66,80,60,87,76,76,74,89,90,85,74,74,65,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,2
205452,Antonio Rüdiger,190,86,1,3,2,68,40,83,80,34,64,50,56,81,70,71,91,56,84,50,84,90,70,91,67,91,82,54,61,40,80,85,85,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
204485,Riyad Mahrez,179,67,0,4,5,81,82,56,83,76,89,85,80,75,91,83,75,91,84,88,82,70,78,57,82,48,39,84,84,73,81,45,34,22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1
202811,Emiliano Martínez,195,88,1,4,1,22,16,26,57,13,17,22,20,59,38,59,57,49,82,49,62,77,40,70,16,37,13,12,66,42,62,11,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
186942,İlkay Gündoğan,180,80,1,4,4,77,82,50,88,75,86,86,80,84,91,65,60,77,86,77,79,67,75,73,80,70,75,84,86,80,87,77,75,67,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,1
